iter	Passed	Remaining
368	5571	9527
369	5586	9511
370	5601	9496
371	5616	9481
372	5634	9471
373	5651	9459
374	5666	9444
375	5681	9428
376	5695	9412
377	5710	9396
378	5725	9380
379	5740	9365
380	5756	9351
381	5771	9336
382	5787	9323
383	5802	9308
384	5818	9294
385	5833	9279
386	5848	9264
387	5865	9251
388	5881	9237
389	5896	9223
390	5913	9211
391	5928	9195
392	5944	9180
393	5958	9165
394	5973	9149
395	5987	9132
396	6003	9118
397	6021	9108
398	6040	9099
399	6058	9087
400	6074	9074
401	6090	9059
402	6105	9045
403	6121	9030
404	6137	9016
405	6153	9003
406	6168	8988
407	6184	8973
408	6198	8957
409	6213	8942
410	6229	8926
411	6244	8911
412	6259	8896
413	6274	8881
414	6289	8865
415	6304	8851
416	6320	8836
417	6335	8821
418	6350	8805
419	6365	8790
420	6381	8776
421	6395	8760
422	6414	8749
423	6435	8742
424	6457	8736
425	6480	8732
426	6501	8724
427	6519	8712
428	6537	8701
429	6557	8692
430	6572	8676
431	6586	8660
432	6602	8645
433	6618	8631
434	6633	8616
435	6648	8600
436	6664	8585
437	6681	8572
438	6696	8557
439	6713	8544
440	6730	8531
441	6747	8517
442	6762	8502
443	6777	8487
444	6792	8471
445	6807	8456
446	6823	8441
447	6840	8429
448	6856	8414
449	6873	8400
450	6889	8386
451	6906	8373
452	6925	8362
453	6945	8352
454	6966	8344
455	6983	8330
456	6998	8316
457	7014	8301
458	7030	8286
459	7046	8272
460	7063	8259
461	7080	8244
462	7096	8230
463	7114	8218
464	7132	8205
465	7151	8194
466	7168	8181
467	7186	8169
468	7203	8155
469	7218	8140
470	7234	8125
471	7249	8109
472	7267	8097
473	7285	8084
474	7300	8069
475	7319	8057
476	7336	8043
477	7353	8030
478	7370	8016
479	7387	8003
480	7404	7989
481	7424	7979
482	7441	7965
483	7458	7951
484	7474	7936
485	7489	7920
486	7508	7909
487	7526	7896
488	7543	7883
489	7559	7868
490	7583	7861
491	7602	7849
492	7622	7838
493	7642	7827
494	7660	7815
495	7679	7803
496	7698	7791
497	7720	7782
498	7736	7767
499	7754	7754
500	7770	7739
501	7784	7722
502	7799	7706
503	7814	7690
504	7829	7674
505	7843	7657
506	7857	7640
507	7874	7626
508	7890	7611
509	7904	7594
510	7918	7577
511	7932	7560
512	7946	7543
513	7960	7526
514	7974	7509
515	7988	7493
516	8016	7489
517	8046	7486
518	8063	7472
519	8083	7461
520	8100	7447
521	8116	7432
522	8131	7416
523	8148	7402
524	8165	7388
525	8185	7376
526	8202	7361
527	8217	7346
528	8232	7329
529	8247	7313
530	8261	7297
531	8277	7281
532	8292	7265
533	8308	7250
534	8323	7234
535	8339	7219
536	8353	7202
537	8368	7186
538	8383	7170
539	8399	7154
540	8413	7138
541	8429	7122
542	8444	7107
543	8460	7091
544	8475	7075
545	8491	7060
546	8506	7044
547	8521	7028
548	8536	7013
549	8552	6997
550	8567	6981
551	8582	6965
552	8597	6949
553	8613	6934
554	8627	6917
555	8644	6903
556	8659	6886
557	8673	6870
558	8689	6854
559	8703	6838
560	8718	6822
561	8733	6806
562	8749	6791
563	8764	6775
564	8779	6759
565	8795	6743
566	8810	6728
567	8828	6714
568	8844	6699
569	8859	6683
570	8875	6668
571	8890	6652
572	8905	6636
573	8921	6621
574	8937	6605
575	8955	6592
576	8972	6578
577	8989	6563
578	9006	6548
579	9021	6533
580	9036	6517
581	9051	6500
582	9066	6485
583	9082	6469
584	9097	6453
585	9113	6438
586	9128	6422
587	9143	6406
588	9158	6390
589	9173	6374
590	9189	6359
591	9205	6344
592	9220	6328
593	9236	6312
594	9252	6297
595	9266	6281
596	9285	6268
597	9304	6255
598	9325	6242
599	9343	6229
600	9362	6215
601	9380	6201
602	9399	6188
603	9418	6174
604	9435	6160
605	9449	6143
606	9464	6127
607	9480	6112
608	9494	6095
609	9510	6080
610	9525	6064
611	9540	6048
612	9555	6032
613	9570	6016
614	9584	6000
615	9598	5983
616	9613	5967
617	9628	5951
618	9643	5935
619	9659	5920
620	9674	5904
621	9689	5888
622	9704	5872
623	9720	5857
624	9752	5851
625	9783	5844
626	9798	5828
627	9814	5813
628	9829	5797
629	9844	5781
630	9860	5766
631	9875	5750
632	9891	5734
633	9906	5719
634	9922	5703
635	9938	5688
636	9953	5672
637	9969	5656
638	9983	5640
639	9998	5624
640	10014	5608
641	10031	5593
642	10054	5582
643	10072	5567
644	10086	5551
645	10102	5535
646	10118	5520
647	10132	5504
648	10148	5488
649	10163	5472
650	10179	5457
651	10194	5441
652	10210	5425
653	10225	5409
654	10241	5394
655	10256	5378
656	10272	5362
657	10287	5347
658	10302	5331
659	10317	5315
660	10331	5298
661	10347	5283
662	10363	5267
663	10378	5251
664	10392	5235
665	10407	5219
666	10423	5204
667	10438	5188
668	10454	5172
669	10469	5156
670	10485	5140
671	10500	5125
672	10517	5110
673	10538	5097
674	10560	5084
675	10581	5071
676	10601	5058
677	10619	5043
678	10637	5028
679	10658	5015
680	10675	5000
681	10691	4984
682	10705	4968
683	10721	4953
684	10736	4937
685	10752	4921
686	10768	4906
687	10782	4889
688	10797	4873
689	10813	4858
690	10828	4842
691	10845	4827
692	10860	4811
693	10877	4796
694	10894	4781
695	10911	4765
696	10926	4749
697	10941	4734
698	10957	4718
699	10974	4703
700	10991	4688
701	11009	4673
702	11025	4657
703	11040	4641
704	11056	4626
705	11074	4611
706	11092	4596
707	11109	4581
708	11128	4567
709	11141	4550
710	11155	4534
711	11168	4517
712	11181	4500
713	11195	4484
714	11208	4467
715	11221	4451
716	11236	4434
717	11251	4419
718	11265	4402
719	11279	4386
720	11293	4370
721	11307	4354
722	11322	4337
723	11335	4321
724	11349	4305
725	11364	4288
726	11377	4272
727	11391	4256
728	11405	4239
729	11418	4223
730	11432	4207
731	11446	4190
732	11459	4174
733	11473	4157
734	11487	4141
735	11500	4125
736	11514	4108
737	11527	4092
738	11541	4076
739	11554	4059
740	11567	4043
741	11581	4027
742	11595	4010
743	11610	3994
744	11623	3978
745	11637	3962
746	11651	3946
747	11665	3930
748	11679	3913
749	11692	3897
750	11704	3880
751	11717	3864
752	11731	3848
753	11744	3831
754	11757	3815
755	11770	3799
756	11783	3782
757	11797	3766
758	11811	3750
759	11824	3733
760	11838	3717
761	11852	3702
762	11870	3687
763	11886	3671
764	11902	3656
765	11918	3640
766	11932	3624
767	11945	3608
768	11959	3592
769	11973	3576
770	11986	3560
771	12000	3544
772	12014	3528
773	12028	3512
774	12041	3496
775	12055	3479
776	12069	3463
777	12081	3447
778	12095	3431
779	12109	3415
780	12122	3399
781	12135	3383
782	12149	3367
783	12163	3351
784	12176	3334
785	12189	3318
786	12203	3302
787	12216	3286
788	12229	3270
789	12242	3254
790	12255	3238
791	12269	3222
792	12283	3206
793	12297	3190
794	12311	3174
795	12324	3158
796	12338	3142
797	12351	3126
798	12365	3110
799	12379	3094
800	12392	3078
801	12406	3062
802	12419	3046
803	12432	3030
804	12446	3015
805	12459	2999
806	12473	2983
807	12486	2967
808	12500	2951
809	12513	2935
810	12526	2919
811	12540	2903
812	12553	2887
813	12567	2871
814	12580	2855
815	12594	2839
816	12608	2824
817	12621	2808
818	12635	2792
819	12648	2776
820	12661	2760
821	12675	2744
822	12688	2728
823	12701	2712
824	12714	2697
825	12728	2681
826	12742	2665
827	12755	2649
828	12769	2633
829	12782	2618
830	12795	2602
831	12808	2586
832	12822	2570
833	12835	2554
834	12849	2539
835	12862	2523
836	12875	2507
837	12889	2491
838	12901	2475
839	12915	2460
840	12929	2444
841	12942	2428
842	12955	2412
843	12969	2397
844	12983	2381
845	12996	2365
846	13010	2350
847	13023	2334
848	13036	2318
849	13049	2302
850	13063	2287
851	13076	2271
852	13090	2255
853	13104	2240
854	13118	2224
855	13131	2208
856	13144	2193
857	13157	2177
858	13171	2161
859	13184	2146
860	13198	2130
861	13211	2115
862	13225	2099
863	13238	2083
864	13251	2068
865	13265	2052
866	13278	2037
867	13292	2021
868	13305	2005
869	13319	1990
870	13331	1974
871	13345	1958
872	13358	1943
873	13371	1927
874	13384	1912
875	13397	1896
876	13410	1880
877	13424	1865
878	13437	1849
879	13451	1834
880	13464	1818
881	13477	1803
882	13490	1787
883	13503	1771
884	13515	1756
885	13528	1740
886	13542	1725
887	13556	1709
888	13569	1694
889	13582	1678
890	13596	1663
891	13609	1647
892	13622	1632
893	13635	1616
894	13649	1601
895	13662	1585
896	13675	1570
897	13689	1554
898	13703	1539
899	13716	1524
900	13729	1508
901	13742	1493
902	13756	1477
903	13769	1462
904	13783	1446
905	13796	1431
906	13809	1415
907	13823	1400
908	13836	1385
909	13849	1369
910	13862	1354
911	13876	1338
912	13889	1323
913	13902	1308
914	13916	1292
915	13929	1277
916	13943	1262
917	13956	1246
918	13969	1231
919	13983	1215
920	13996	1200
921	14009	1185
922	14023	1169
923	14036	1154
924	14049	1139
925	14063	1123
926	14076	1108
927	14089	1093
928	14103	1077
929	14116	1062
930	14130	1047
931	14143	1031
932	14157	1016
933	14170	1001
934	14183	986
935	14196	970
936	14209	955
937	14222	940
938	14235	924
939	14248	909
940	14261	894
941	14274	878
942	14288	863
943	14302	848
944	14315	833
945	14328	817
946	14341	802
947	14355	787
948	14368	772
949	14381	756
950	14394	741
951	14407	726
952	14420	711
953	14433	695
954	14447	680
955	14460	665
956	14473	650
957	14486	635
958	14500	619
959	14512	604
960	14525	589
961	14539	574
962	14552	559
963	14565	543
964	14579	528
965	14593	513
966	14606	498
967	14620	483
968	14634	468
969	14647	453
970	14661	437
971	14674	422
972	14688	407
973	14701	392
974	14714	377
975	14727	362
976	14740	347
977	14754	331
978	14768	316
979	14781	301
980	14794	286
981	14808	271
982	14821	256
983	14834	241
984	14847	226
985	14860	211
986	14874	195
987	14887	180
988	14900	165
989	14914	150
990	14927	135
991	14940	120
992	14954	105
993	14967	90
994	14981	75
995	14994	60
996	15008	45
997	15021	30
998	15034	15
999	15048	0
